id;NomFournisseur;AddressFournisseur;idPays;idPaysLivraison;DateLivraison;TempsLivraison;Qte;PrixCommande
48;George Lee Antiques;632 Roger Williams;46;45;03/08/2007 19:55;13:20.0;65765;70580.8838
49;Johnson, Erico & Co CPA's;5518 Madison St.;17;16;26/10/2002 03:40;54:56.0;89561;99258.1102
50;Trapezoid Studios;1831 Beverly Place #9D;15;26;21/08/1971 06:20;28:16.0;54770;72460.9378
51;American Deli Workers Union;618 Sheriden rd.;4;38;04/09/1974 21:53;53:20.0;11072;9563.7552
52;Schmidt Denists;844 Spruce St.;47;30;24/02/2003 18:27;46:40.0;4500;3520.56
53;Crossroads Construction, Inc.;2267 Anderson Lane;5;14;04/06/1989 11:40;53:20.0;46277;63818.8902
54;Jay's Cabinet Company;2024 St.Johns Ave.;48;48;29/06/2006 06:42;46:40.0;61386;12933.4726
55;Highland Heights Gift Shop;1799 Rosemary Way;28;12;01/07/2006 00:08;53:20.0;91420;11980.6011
56;Glenn Oaks Office Supplies;1859 Green Bay Rd.;7;35;02/05/1999 00:07;33:20.0;1225;51734.4826
57;Lee Stairworks and Carpentry,;2644 Princeton Ln.;41;46;24/12/1977 16:02;41:36.0;49648;9700.7312
58;Lambert & Locke Legal Services;662 Lyons Circle;45;17;15/09/1986 21:27;26:40.0;16920;31584.4395
59;Nitelites Party Rental;12 Walker Ave.;37;15;16/09/2004 21:42;40:00.0;87570;87992.7496
60;Vanity Town;1701 W. Mellody Rd.;32;4;21/09/1982 04:35;48:16.0;16120;60499.9252
61;DBN Bank;456 Grossman Ln.;35;47;02/10/2003 08:08;26:40.0;64493;10448.7948
62;BBQ Smith's Tex Mex;1101 Deerfield Place;9;5;24/08/2000 03:00;21:36.0;36616;7362.8436
63;Pivot Point College;1547 Knolwood Rd.;9;48;04/09/2000 22:08;00:00.0;1190;23856
64;Highland Woods City Hall;430 Oakland Drive;9;28;12/10/2006 21:40;13:20.0;10443;43494.6997
65;Mail Boxes Et. Al.;1859 Green Bay Rd.;30;7;17/02/2001 08:53;53:20.0;16029;78020.4434
66;Smith & Wesson Militia;1750 Lily Court;27;41;04/11/1978 20:40;14:56.0;66326;6676.0347
67;Acturial Enterprises Ltd.;1486 Oakwood;32;45;16/07/2006 17:28;46:40.0;90900;41916.744
68;Resnick DDS;726 White Oaks Ave.;6;37;25/04/1990 17:13;26:40.0;75566;16911.3445
69;Air Mexico;313 Grove Ave.;6;32;05/11/2003 21:22;20:00.0;63097;44552.0683
70;janice Mann Accounting Service;3181 Barkwood Ct.;28;35;09/02/1989 04:00;20:00.0;38310;64944.0328
71;Pete's Auto Repair;1436 Waverly Rd.;32;9;03/04/2001 10:07;53:20.0;56790;13196.3456
72;Michael Montgomery Hair Saloon;1077 Court Ave.;9;9;19/10/1972 08:22;20:00.0;81313;98985.2492
73;Gordon & Son Brockerage Ltd.;313 Grove Ave.;49;9;27/05/1996 02:20;34:56.0;75558;91936.6018
74;Bee Line Publishing;3344 Beachwood Ln.;46;30;18/02/2006 12:55;53:20.0;33150;51721.2638
75;Green Bay Travel Services;1795 Lake Cook Rd.;28;27;16/12/2006 22:42;01:36.0;39632;99143.6368
76;Caranisco Homes;310 Walker Ave.;39;32;04/02/1994 22:13;53:20.0;37045;68925.7296
77;Doll House Rock;844 Spruce St.;49;6;10/11/1978 06:28;13:20.0;8592;72500.96
78;Moveit Motercycle Service;965 Marion Place Apt. 65C;13;6;21/08/1978 16:07;21:36.0;10620;51680.9919
79;Funnyface Amusement Games;511 Hill;12;28;27/03/2005 00:13;06:40.0;8903;24036.3954
80;Glenwood Credit Union;2870 Skokie Rd.;21;32;08/03/1980 10:40;14:56.0;14095;28588.6032
81;Glassman & Stone;654 Walnut Rd.;19;9;03/02/2007 10:53;13:20.0;21600;43866.2185
82;Yale Remins Temp Agency;628 Orwenstensia;24;49;10/11/1972 16:13;21:36.0;74600;12040.7126
83;Dean Barnett Furniture Repair;2922 Twin Oaks Drive;18;46;25/03/2001 19:33;14:56.0;95750;28880.056
84;Eva Galler Galleries Inc.;1101 Deerfield Place;8;28;11/03/2000 11:33;08:16.0;33873;28716.9212
85;Shaggy's Grooming Services;1270 Linden Ave.;6;39;12/01/1977 06:53;01:36.0;52760;50992.5684
86;Bako Delicatessen;628 Orwenstensia;19;49;27/03/1971 05:33;13:20.0;90980;2568.5854
87;Cradle the Call;1155 Ridgewood Drive;28;13;23/09/2005 10:22;14:56.0;8250;24448.516
88;Truck-X Muffler Repair;45 South Deer Creek Drive;19;12;19/02/1999 04:53;00:00.0;44304;47679.0904
89;Deer Lake Inn;1 Twin Oaks Place;22;21;11/10/1978 14:20;13:20.0;51284;54796.6944
90;Crosstracks Car Wash;505 N. Frances St.;33;19;05/02/2005 22:27;06:40.0;6878;13900.923
91;Masterlands Cleaning;313 Grove Ave.;34;24;18/03/1987 21:07;48:16.0;14680;50366.585
92;Shaggy's Grooming Services;3160 Summit Ave.;7;18;17/11/2000 06:27;06:40.0;67920;58720.5376
93;North West Gas Co.;445 Park Ave.;30;8;12/04/1994 06:08;40:00.0;24287;55640.9436
94;Car Suite Cleaners;120 high St.;6;6;02/06/1974 00:07;53:20.0;63010;3559.9738
95;Cutter Lawn Mower Repair;929 Brittany Ave.;2;19;26/06/2000 21:27;34:56.0;12956;26816.6184
96;Doerner's Awnings and Canopies;616 Cobblestone Cir.;26;28;04/12/2001 13:33;33:20.0;90760;19776.1655
97;Yale Remins Temp Agency;245 Oakridge Ave.;19;19;22/06/2005 04:08;48:16.0;80543;92848.9882
98;Nyman Interior Design;1486 Oakwood;39;22;05/07/2000 08:33;46:40.0;86886;19550.2368
99;Shaggy's Grooming Services;1077 Court Ave.;29;33;19/06/1970 08:08;00:00.0;9468;8296.3344
100;Johnson, Erico & Co CPA's;2632 Prarie Ln.;44;34;26/07/2006 11:15;00:00.0;89968;17116.1734
101;Bill's Dive Shop;872 Virginia Rd.;7;7;23/06/1980 10:20;28:16.0;62330;39227.754
102;Bill's Dive Shop;245 Oakridge Ave.;34;30;28/07/1989 12:08;34:56.0;42925;72792.6976
103;Air Mexico;12 Skokie Valley Rd.;31;6;06/03/1992 05:33;53:20.0;62522;72148.9742
104;Metro Appliance Service;2220 Grant Blvd.;39;2;30/10/1977 22:53;20:00.0;25998;24696.3833
105;Caranisco Homes;750 Homewood Ave.;16;26;20/08/2000 04:33;21:36.0;88628;30739.0813
106;Caranisco Homes;1860 Parkside Ln.;40;19;14/02/2001 02:02;40:00.0;82676;46776.9915
107;Camp Oconomowoc;4763 Blackhawk Rd.;25;39;19/09/2005 23:02;46:40.0;45600;73440.9275
108;Air India;135 Lakewood place;9;29;07/06/2000 16:20;53:20.0;3045;13650.7006
109;Lickmen Restoration;1912 Old Briar Lane #2;23;44;22/11/2000 06:27;54:56.0;14608;27300.3582
110;K L Consulting;445 Park Ave.;43;7;27/01/1994 19:47;53:20.0;77500;42420.2392
111;DBN Bank;242 Ashland Ave.;20;34;20/12/2000 08:42;00:00.0;13990;24968.5648
112;Hart Corporation;1777 balsamic Ave.;41;31;22/11/1998 02:00;33:20.0;58058;1610.568
113;Hoffman Printing Center;430 Oakland Drive;44;39;12/02/2005 09:20;54:56.0;6296;62114.693
114;Pasifico Inc.;1233 Arbor Rd.;45;16;09/04/1972 00:28;01:36.0;5631;73285.6654
115;Auto Interior Carpeting Compan;844 Spruce St.;48;40;13/04/2001 09:00;14:56.0;49944;34638.435
116;Trapezoid Studios;54 Lakeview Terrace;6;25;11/01/1972 06:40;06:40.0;52216;48645.691
117;Pac Builders;1270 Linden Ave.;11;9;30/04/1974 14:20;46:40.0;99607;90376.3818
118;Dapper's Antiques;2024 St.Johns Ave.;19;23;16/02/2007 04:27;13:20.0;14295;34862.703
119;Tub's Furniture Store;1547 Vine;31;43;17/01/1990 18:13;20:00.0;18240;25882.4093
120;Kermit the Pet Shop;1235 Easton Rd.;3;20;13/11/1992 04:02;46:40.0;95802;18212.184
121;First National Bank of Ottowa;465 Stratford Rd.;5;41;07/07/1972 13:27;54:56.0;67344;140.8432
122;Terrinni & Son Auto and Truck;1859 Green Bay Rd.;12;44;11/12/1970 10:40;46:40.0;12928;28625.1218
123;Esmarda Chemical Manufacturers;10 Marquette Rd.;4;45;23/11/2005 01:35;28:16.0;88025;48491.3736
124;First National Bank of Ottowa;2632 Prarie Ln.;44;48;31/12/1970 02:53;48:16.0;24196;14840.3157
125;Facelift Kitchen and Bath;3100 Trailer Way;47;6;15/01/1993 12:13;33:20.0;15220;91232.5356
126;Nina's Snow Plowing;302-A Crestwood Village Rd.;35;11;13/08/2004 13:27;53:20.0;71856;73505.952
127;Flinn Mosquito and Pest Contro;1859 Green Bay Rd.;43;19;18/06/1994 09:15;00:00.0;87452;65216.8
128;Resnick DDS;302-A Crestwood Village Rd.;25;31;25/09/1974 17:53;53:20.0;23098;13011.1353
129;Air Mexico;1535 Knollwood Drive;14;3;23/09/1974 10:20;40:00.0;85200;78053.9692
130;Gordon & Son Brockerage Ltd.;899 Harvard Ct;31;5;24/10/2006 15:27;46:40.0;70403;46721
131;Griffith Paving and Sealcoatin;2922 Twin Oaks Drive;22;12;22/11/1971 23:20;06:40.0;38164;54746.0524
132;AAA Daniels Antiques;600 Central Ave;15;4;30/12/1983 19:20;13:20.0;9868;87040.7075
133;Smith Communications Inc.;750 Homewood Ave.;31;44;04/06/1989 11:40;40:00.0;53001;60328.1145
134;Myers Chocolates and Confectio;2644 Princeton Ln.;21;47;20/08/1983 05:00;48:16.0;95735;30155.8229
135;Masterlands Cleaning;2224 Sherman Rd.;26;35;10/11/2004 09:35;33:20.0;41009;92184.86
136;Futoons Cartoons Emporium;465 Stratford Rd.;25;43;08/03/1971 06:00;33:20.0;14133;22700.9968
137;Block Boats and Lures;1858 Balsam Way;47;25;06/11/2007 16:42;06:40.0;6582;27622.608
138;Vanity Town;302-A Crestwood Village Rd.;7;14;20/02/1975 20:27;14:56.0;46712;25546.0548
139;Morton Roofing and Siding;1658 Second St.;33;31;12/12/1974 17:07;46:40.0;27386;40890.5276
140;Caranisco Homes;3344 Beachwood Ln.;15;22;11/09/1993 07:02;13:20.0;11552;61800.516
141;DBN Bank;2600 Winsor Mall;20;15;27/11/1993 11:33;13:20.0;70626;93936.858
142;Hart Corporation;1658 Second St.;10;31;10/10/2003 16:33;53:20.0;82624;66993.3696
143;Nel Video Productions;1715 Chicago Ave.;20;21;16/01/1970 17:47;46:40.0;31760;42975.8249
144;Maintence Services of Maine;1658 Second St.;35;26;16/12/1989 16:02;13:20.0;2253;67904.2224
145;Woodworks Co.;445 Park Ave.;11;25;05/07/2001 07:55;33:20.0;2818;11610.3016
146;Glenn Oaks Office Supplies;746 Judson Place;6;47;23/11/1989 12:28;00:00.0;16480;746.0806
147;Funnyface Amusement Games;2220 Grant Blvd.;7;7;04/07/1986 23:27;33:20.0;36104;84428.2112
148;Highland Lanes;224  Highwood Ave.;35;33;11/09/2001 07:13;54:56.0;95664;67889.7128
149;Marcy Elaine Bakery;1750 Lily Court;45;15;03/11/1982 19:33;41:36.0;11496;88953.1544
150;janice Mann Accounting Service;3181 Barkwood Ct.;11;20;25/08/1999 17:53;26:40.0;42674;59793.344
151;Lickmen Restoration;1875 Roger Williams Ave.;9;10;17/01/1980 23:33;00:00.0;63304;14949.6536
152;Moveit Motercycle Service;969 Saxony Drive;41;20;16/12/2006 20:13;26:40.0;52835;23305.01
153;Cradle the Call;785 Highland place;1;35;19/05/2005 23:40;21:36.0;97244;64408.525
154;Kapp Camera and Video;1619 Judson Ave. Apt #34B;37;11;18/10/1989 16:22;01:36.0;29748;75167.2808
155;Marcy Elaine Bakery;430 Oakland Drive;26;6;23/08/2002 13:42;01:36.0;66458;29281.6816
156;Ernie's Foriegn Car Service;5518 Madison St.;46;7;30/12/1986 04:13;01:36.0;42200;96923.7456
157;Myles Building Consultants;367Bluebird Terr.;41;35;12/01/2006 06:00;41:36.0;73508;91960.5823
158;Cotton Thumb Ltd.;433 Burton Ave.;18;45;02/09/1977 15:53;20:00.0;54348;68825.3132
159;Lickmen Restoration;1101 Deerfield Place;44;11;30/04/2004 09:00;00:00.0;35296;28400.9652
160;Marks, Marks, and Kaplan Ltd.;1019 Deerfield Rd.;28;9;28/03/2006 11:33;00:00.0;58158;88159.9412
161;Morton Roofing and Siding;313 Grove Ave.;26;41;02/11/1992 18:02;41:36.0;55520;14379.508
162;P K M Packaging Supply;1077 Court Ave.;12;1;05/01/2000 04:53;53:20.0;82360;30820.1048
163;Trapezoid Studios;14836 W. River Oaks Dr.;35;37;24/09/1975 15:13;06:40.0;36376;93888.8917
164;Salt & Pepper Catering Service;770 Exmoor Rd.;3;26;16/03/2000 12:28;40:00.0;72598;29061.0965
165;Darcy Frame and Matting Servic;42 Valley Rd.;37;46;15/08/2006 13:40;53:20.0;63840;72035.4738
166;Jay's Cabinet Company;1 Twin Oaks Place;49;41;15/05/1993 01:55;33:20.0;81480;12930.715
167;Marks, Marks, and Kaplan Ltd.;770 Exmoor Rd.;31;18;03/07/1996 14:20;46:40.0;64385;26425.055
168;Camp Oconomowoc;1245 Eastwood;9;44;09/08/1980 01:02;06:40.0;57009;95225.92
169;Innman Paint and Glass;673 Calais Drive;5;28;25/10/1996 00:33;46:40.0;39410;59504.8794
170;Kermit the Pet Shop;1482 Concorde Circle;16;26;28/10/2000 01:00;33:20.0;61704;75734.871
171;Pasifico Inc.;1235 Easton Rd.;7;12;01/02/1972 02:40;33:20.0;22248;21182.6096
172;Block Boats and Lures;618 Sheriden rd.;1;35;16/05/2001 12:33;33:20.0;22504;15952.7112
173;Myles Building Consultants;1077 Court Ave.;11;3;06/01/2001 16:53;40:00.0;35436;70414.5286
174;Childress Child Day Care;1882 St. Johns;1;37;05/11/1975 22:53;06:40.0;76014;84328.3125
175;Parties Galore Golf Course;857 Woodbine Rd;33;49;09/07/1977 02:33;06:40.0;36512;3210.318
176;Facelift Kitchen and Bath;3150 Skokie Valley Rd.;7;31;25/01/2004 06:27;33:20.0;38200;82094.9508
177;Esmarda Chemical Manufacturers;1907 S. Prospect Ave.;27;9;10/04/2006 23:42;40:00.0;86880;41009.4504
178;Pivot Point College;2148 Eastview Dr.;31;5;13/01/1971 07:33;08:16.0;44564;72896.674
179;Smith & Wesson Militia;1839 McCraren Rd.;31;16;04/10/2000 07:53;53:20.0;1452;37980.0392
180;Kapp Camera and Video;2220 Grant Blvd.;15;7;24/10/1994 20:35;28:16.0;19136;93892.0933
181;Ampro Office Team Ltd.;844 Spruce St.;29;1;20/09/1990 11:42;46:40.0;97120;18963.721
182;Hart Corporation;1701 W. Mellody Rd.;6;11;29/04/2000 10:48;13:20.0;58406;56244.8886
183;AAA Daniels Antiques;511 Hill;13;1;01/03/1977 10:27;00:00.0;36506;94185.5039
184;Palmer Golf Supplies;1860 Parkside Ln.;32;33;06/11/2004 22:15;48:16.0;87604;43880.0118
185;Mail Boxes Et. Al.;22 Clay rd.;48;7;18/02/2002 04:28;08:16.0;42816;77500.9892
186;Highland Woods City Hall;2632 Prarie Ln.;29;27;15/12/2001 07:07;40:00.0;12577;56096.98
187;Meonits & Mogogni Inc.;844 Spruce St.;50;31;07/08/1994 23:53;01:36.0;78096;23330.897
188;Doerner's Awnings and Canopies;618 Sheriden rd.;16;31;20/03/2006 15:08;40:00.0;38583;21529.2232
189;Keyth Contracting and Repair;266 Green Bay Rd.;12;15;10/09/2000 09:27;06:40.0;62900;24842.2402
190;Highland Heights Gift Shop;465 Stratford Rd.;42;29;21/05/2001 03:40;46:40.0;54420;88768.7726
191;Auto Interior Carpeting Compan;22 Clay rd.;15;6;03/02/2005 21:48;46:40.0;11110;51360.98
192;Portugal, Liddy, & Son Ltd.;629 Kincaid Ave.;12;13;16/12/2001 10:53;40:00.0;35808;97008.1688
193;Hilco Auto Body;54 Lakeview Terrace;15;32;04/12/2005 07:47;40:00.0;19680;85163.2
194;Morton Roofing and Siding;1912 Old Briar Lane #2;7;48;25/06/1974 22:22;40:00.0;11972;136.0523
195;Schnitzer Denist College;628 Orwenstensia;30;29;24/09/1974 14:07;53:20.0;61690;39150.7175
196;Morgan Construction Co;4259 W. Lake Ave.;23;50;09/04/1992 14:48;53:20.0;87739;49355.916
197;Air Barbados;42 Valley Rd.;37;16;11/04/1977 09:47;40:00.0;39884;88031.084
198;Bee Line Publishing;671 Blackstone Ave.;7;12;22/01/2002 13:35;13:20.0;22784;89725.477
199;Transformation Enterprises;669 Kikaid;8;42;14/06/1982 11:53;00:00.0;43353;12351.2164
200;Cradle the Call;550 Sheridan;30;15;26/10/1986 08:40;00:00.0;89430;40968.0872
201;Nel Video Productions;1270 Linden Ave.;7;12;14/10/1985 18:47;13:20.0;74575;84434.0036
202;Darcy Frame and Matting Servic;220 Vine Ave.;5;15;30/04/1993 21:00;54:56.0;91758;2522.0058
203;Green Bay Travel Services;1444 Chantilly Ln.;38;7;07/07/1977 22:47;33:20.0;86625;79320.2956
204;Nyman Interior Design;456 Groverland Ave.;48;30;09/09/1978 04:33;40:00.0;54440;73204.278
205;Air France;42 Valley Rd.;9;23;08/03/2005 07:35;13:20.0;82380;3511.7144
206;Dependable Plumbing and Sewer;4763 Blackhawk Rd.;24;37;03/11/2007 05:22;54:56.0;19756;54886.183
207;Green Shoes Corp.;310 Walker Ave.;36;7;10/01/1994 00:00;46:40.0;9281;30359.177
208;janice Mann Accounting Service;368 Woodland Rd.;38;8;19/09/1993 09:28;40:00.0;64440;48635.03
209;Mac Computer Warehouse;618 Sheriden rd.;12;30;06/04/2006 17:40;06:40.0;10750;13688.0268
210;Marks, Marks, and Kaplan Ltd.;77 Blackhawk Rd;43;7;23/10/2000 12:48;20:00.0;41001;13868.1805
211;Portugal, Liddy, & Son Ltd.;839 Burton Ave;34;5;19/01/2002 11:20;48:16.0;43200;62590.4969
212;Gourmet the Frog;302-A Crestwood Village Rd.;29;38;01/11/1990 22:53;53:20.0;38450;87150.34
213;Green Shoes Corp.;2479 Woodridge Drive;19;48;20/10/1982 12:07;40:00.0;6680;5590.3198
214;Glenwood Credit Union;2936 Arlington Ave.;46;9;12/06/2006 11:42;28:16.0;54946;27182.0938
215;Schnitzer Denist College;220 Vine Ave.;30;24;03/02/1996 06:02;33:20.0;69545;53246.1312
216;Green Shoes Corp.;1795 Lake Cook Rd.;13;36;19/08/2000 16:47;06:40.0;94920;63148.1286
217;Moveit Motercycle Service;2045 St. johns Ave.;17;38;18/04/1974 06:53;26:40.0;16644;23767.0556
218;Eva Galler Galleries Inc.;673 Calais Drive;38;12;03/02/1975 22:53;06:40.0;33518;14075.2605
219;Highland Heights Gift Shop;550 Sheridan;49;43;26/09/2004 07:15;46:40.0;88598;41888.6088
220;George Lee Antiques;1155 Ridgewood Drive;22;34;14/12/2006 16:15;06:40.0;95652;11218.4867
221;Smith Communications Inc.;1535 Knollwood Drive;41;29;21/09/1987 13:55;20:00.0;8484;75348.339
222;Office Pro Supply Co.;872 Virginia Rd.;48;19;08/06/1978 14:20;14:56.0;81320;23040.984
223;Eva Galler Galleries Inc.;2505 Allison ct.;3;46;15/05/2000 15:42;33:20.0;68720;35460.8066
224;AA Advertising;35 Glenlake Dr.;13;30;18/05/2004 04:47;28:16.0;75136;13600.8874
225;Dependable Plumbing and Sewer;1920 Sunnyside Ave.;35;13;08/06/2005 15:53;53:20.0;19531;77948.209
226;Mail Boxes Et. Al.;965 Marion Place Apt. 65C;33;17;03/03/2004 02:02;46:40.0;50440;38724.8679
227;Mergenthaler Inc.;1575 Oak Ave.  Apt. 2C;29;38;11/10/1992 11:40;40:00.0;20265;51858.8156
228;Park District Of America;1715 Chicago Ave.;8;49;27/01/2003 23:47;08:16.0;23776;52788.4182
229;New Dehli Auto Exchange;456 Groverland Ave.;6;22;10/02/1982 03:33;53:20.0;40990;70552.4437
230;Masterlands Cleaning;21 Lakeview Terrace #2312;42;41;01/09/1978 13:13;20:00.0;92336;16567.8758
231;Woodworks Co.;2220 Grant Blvd.;15;48;15/11/1980 01:33;26:40.0;16470;20690.9076
232;Palmer Golf Supplies;2510 Crain;37;3;30/10/1983 22:13;26:40.0;5928;14900.1988
233;Lickmen Restoration;4522 N. Greenview Apt. 1B;12;13;07/12/2004 06:13;28:16.0;93677;8756.0532
234;Deer Lake Inn;1701 W. Mellody Rd.;40;35;01/07/1985 11:00;00:00.0;95531;94767.785
235;Smith Communications Inc.;3062 Lindenwood Ln.;6;33;02/09/1990 08:20;06:40.0;91880;80510.7808
236;Park District Of America;1859 Green Bay Rd.;36;29;10/07/2005 04:48;21:36.0;95636;42700.96
237;New Dehli Auto Exchange;1535 Knollwood Drive;18;8;25/06/2004 13:42;53:20.0;34300;37836.973
238;Innman Paint and Glass;643 De Temple Rd.;22;6;27/01/2003 20:40;53:20.0;79472;35880.2828
239;John G. Hartling Ltd.;600 Central Ave.;15;42;12/12/1998 22:00;34:56.0;63262;81663.776
240;Dean Grant Buick and Crysler;1482 Concorde Circle;44;15;15/08/2000 15:53;28:16.0;52540;39680.1654
241;American Deli Workers Union;965 Marion Place Apt. 65C;18;37;24/08/1989 12:07;41:36.0;77004;91588.7832
242;Loyal Order of Buffalo;1019 Deerfield Rd.;29;12;06/05/2006 21:00;06:40.0;45914;54463.2264
243;Car Suite Cleaners;1235 Easton Rd.;48;40;04/05/1982 03:28;13:20.0;84811;39624.6
244;Foy Aviation;1715 Chicago Ave.;24;6;29/09/1982 07:02;48:16.0;89196;16812.144
245;Kapp Camera and Video;511 Hill;16;36;23/07/2002 07:42;41:36.0;51310;16074.5696
246;Lee Stairworks and Carpentry,;42 Valley Rd.;15;18;08/04/1980 07:35;40:00.0;83792;55376.4793
247;Lake Shore Publishing;115 Judson Rd.;39;22;08/06/1990 16:47;53:20.0;73548;4985.7264
248;Marcy Elaine Bakery;367Bluebird Terr.;45;15;04/12/1983 23:08;14:56.0;95840;92544.685
249;Hart Corporation;77 Blackhawk Rd;35;44;19/12/2002 23:07;48:16.0;55006;10840.4219
250;North West Gas Co.;1 Twin Oaks Place;38;18;22/04/1987 15:27;08:16.0;37738;54629.8858
251;DBN Bank;550 Sheridan;22;29;04/01/2004 10:27;26:40.0;69238;85990.5975
252;Arthur M. Feildberg Galleries;3901 Chester Ave. Apt. 3C;18;48;11/05/1986 13:53;08:16.0;54885;85709.9584
